,oid,ent,sectionId,EP_1,EP_2
534,1,3,5050,5050,5050
535,1,4,5053,5053,5053
536,1,5,5048,5048,5048
537,1,6,5352,5352,5352
538,1,7,5348,5348,5348
539,1,8,5351,5351,5351
540,1,9,5354,5354,5354
541,1,1,5349,5349,5349
542,1,2,5352,5352,5352
543,1,3,5355,5355,5355
544,1,4,5350,5350,5350
545,1,5,5453,5453,5453
546,1,6,5449,5449,5449
547,1,7,5452,5452,5452
548,1,8,5455,5455,5455
549,1,9,5450,5450,5450
550,1,1,5453,5453,5453
551,1,2,5456,5456,5456
552,1,3,5451,5451,5451
553,1,4,5453,5453,5453
554,1,5,5449,5449,5449
555,1,6,5452,5452,5452
556,1,7,5455,5455,5455
557,1,8,5450,5450,5450
558,1,9,5453,5453,5453
559,1,1,5456,5456,5456
560,1,2,5451,5451,5451
561,1,3,5453,5453,5453
562,1,4,5449,5449,5449
563,1,5,5452,5452,5452
564,1,6,5455,5455,5455
565,1,7,5450,5450,5450
566,1,8,5453,5453,5453
567,1,9,5456,5456,5456
568,1,1,5451,5451,5451
569,1,2,5253,5253,5253
570,1,3,5249,5249,5249
571,1,4,5252,5252,5252
572,1,5,5255,5255,5255
573,1,6,5250,5250,5250
574,1,7,5253,5253,5253
575,1,8,5256,5256,5256
576,1,9,5251,5251,5251
577,1,1,5053,5053,5053
578,1,2,5049,5049,5049
579,1,3,5052,5052,5052
580,1,4,5055,5055,5055
581,1,5,5050,5050,5050
582,1,6,5053,5053,5053
583,1,7,5056,5056,5056
584,1,8,5051,5051,5051
585,1,9,4752,4752,4752
586,1,1,4748,4748,4748
587,1,2,4751,4751,4751
588,1,3,4754,4754,4754
589,1,4,4749,4749,4749
590,1,5,4752,4752,4752
591,1,6,4755,4755,4755
592,1,7,4750,4750,4750
593,1,8,4451,4451,4451
594,1,9,4447,4447,4447
595,1,1,4450,4450,4450
596,1,2,4453,4453,4453
597,1,3,4448,4448,4448
598,1,4,4451,4451,4451
599,1,5,4454,4454,4454
600,1,6,4449,4449,4449
601,1,7,3949,3949,3949
602,1,8,3945,3945,3945
603,1,9,3948,3948,3948
604,1,1,3951,3951,3951
605,1,2,3946,3946,3946
606,1,3,3949,3949,3949
607,1,4,3952,3952,3952
608,1,5,3947,3947,3947
609,1,6,3647,3647,3647
610,1,7,3643,3643,3643
611,1,8,3646,3646,3646
612,1,9,3649,3649,3649
613,1,1,3644,3644,3644
614,1,2,3647,3647,3647
615,1,3,3650,3650,3650
616,1,4,3645,3645,3645
617,1,5,3447,3447,3447
618,1,6,3443,3443,3443
619,1,7,3446,3446,3446
620,1,8,3449,3449,3449
621,1,9,3444,3444,3444
622,1,1,3447,3447,3447
623,1,2,3450,3450,3450
624,1,3,3445,3445,3445
625,1,4,3447,3447,3447
626,1,5,3443,3443,3443
627,1,6,3446,3446,3446
628,1,7,3449,3449,3449
629,1,8,3444,3444,3444
630,1,9,3447,3447,3447
631,1,1,3450,3450,3450
632,1,2,3445,3445,3445
633,1,3,3649,3649,3649
634,1,4,3645,3645,3645
635,1,5,3648,3648,3648
636,1,6,3651,3651,3651
637,1,7,3646,3646,3646
638,1,8,3649,3649,3649
639,1,9,3652,3652,3652
640,1,1,3647,3647,3647
641,1,2,4152,4152,4152
642,1,3,4148,4148,4148
643,1,4,4151,4151,4151
644,1,5,4154,4154,4154
645,1,6,4149,4149,4149
646,1,7,4152,4152,4152
647,1,8,4155,4155,4155
648,1,9,4150,4150,4150
649,1,1,4856,4856,4856
650,1,2,4852,4852,4852
651,1,3,4855,4855,4855
652,1,4,4858,4858,4858
653,1,5,4853,4853,4853
654,1,6,4856,4856,4856
655,1,7,4859,4859,4859
656,1,8,4854,4854,4854
657,1,9,5460,5460,5460
658,1,1,5456,5456,5456
659,1,2,5459,5459,5459
660,1,3,5462,5462,5462
661,1,4,5457,5457,5457
662,1,5,5460,5460,5460
663,1,6,5463,5463,5463
664,1,7,5458,5458,5458
665,1,8,5863,5863,5863
666,1,9,5859,5859,5859
667,1,1,5862,5862,5862
668,1,2,5865,5865,5865
669,1,3,5860,5860,5860
670,1,4,5863,5863,5863
671,1,5,5866,5866,5866
672,1,6,5861,5861,5861
673,1,7,5964,5964,5964
674,1,8,5960,5960,5960
675,1,9,5963,5966,5963
676,1,1,5966,5966,5966
677,1,2,5961,5961,5961
678,1,3,5964,5964,5964
679,1,4,5967,5967,5967
680,1,5,5962,5962,5962
681,1,6,5964,5964,5964
682,1,7,5960,5960,5960
683,1,8,5963,5963,5963
684,1,9,5966,5966,5966
685,1,1,5961,5961,5961
686,1,2,5964,5964,5964
687,1,3,5967,5967,5967
688,1,4,5962,5962,5962
689,1,5,5764,5764,5764
690,1,6,5760,5760,5760
691,1,7,5763,5763,5763
692,1,8,5766,5766,5766
